"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
163,"Swamp Sparrow","swaspa","Passerellidae","Marshes","Ground Forager",2022,0.392,-83.609,38.135,2.622,0.313,3.229,0.281,2.569,0.366,4.055,0.398
164,"Black-throated Green Warbler","btnwar","Parulidae","Forests","Foliage Gleaner",2022,0.397,-80.812,40.77,2.592,0.211,3.371,0.19,2.693,0.242,4.692,0.261
165,"Rose-breasted Grosbeak","robgro","Cardinalidae","Forests","Foliage Gleaner",2022,0.411,-84.239,40.013,2.773,0.289,3.477,0.261,2.773,0.336,4.544,0.367
166,"Common Nighthawk","bkbcuc","Caprimulgidae","Open Woodlands","Aerial Insectivore",2022,0.417,-80.972,42.913,2.706,0.242,3.548,0.233,2.81,0.276,4.933,0.309
167,"Black-billed Cuckoo","bkbcuc","Cuculidae","Forests","Foliage Gleaner",2022,0.417,-80.972,42.913,2.706,0.242,3.548,0.233,2.81,0.276,4.933,0.309
168,"Golden-winged Warbler","gowwar","Parulidae","Open Woodlands","Foliage Gleaner",2022,0.438,-87.792,41.197,2.941,0.261,3.65,0.236,2.897,0.3,5.135,0.331
169,"Black-throated Blue Warbler","btbwar","Parulidae","Forests","Foliage Gleaner",2022,0.443,-77.404,40.385,2.333,0.212,3.163,0.193,2.53,0.244,4.355,0.263
170,"Ruby-throated Hummingbird","rthhum","Trochilidae","Open Woodlands","Nectar Feeder",2022,0.454,-84.102,37.742,2.665,0.3,3.269,0.254,2.61,0.35,4.107,0.37
171,"Eastern Wood-pewee","eawpew","Tyrannidae","Forests","Flycatcher",2022,0.454,-83.511,38.925,2.631,0.304,3.266,0.27,2.62,0.355,4.217,0.386
172,"Barred Owl","brdowl","Strigidae","Forests","Mammal Hunter",2022,0.461,-83.055,38.435,2.592,0.239,3.252,0.204,2.611,0.276,4.325,0.297
173,"Downy Woodpecker","dowwoo","Picidae","Forests","Bark Forager",2022,0.463,-83.017,38.576,2.6,0.316,3.228,0.285,2.593,0.368,4.137,0.401
174,"Prothonotary Warbler","prowar","Parulidae","Forests","Foliage Gleaner",2022,0.466,-84.129,34.501,2.693,0.28,3.186,0.247,2.462,0.333,3.368,0.375
175,"Brown Thrasher","brnthr","Mimidae","Scrub","Ground Forager",2022,0.466,-84.16,36.571,2.626,0.341,3.146,0.284,2.52,0.399,3.683,0.415
