"Response","Scenario","Model_Structure","delta_AIC","Term","Estimate","SE","t","p_value"
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"I(mean_latitude^2)",-0.00159467511802383,0.000192807820609383,-8.27080101306962,1.84250563822869e-14
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"mean_longitude",-0.193297919931086,0.0493063048331594,-3.92034894087399,0.000121421716047893
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"I(mean_longitude^2)",-0.00113800896510002,0.00030203874387082,-3.76775823695896,0.000216660913886681
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"(Intercept)",-9.61062702527627,1.96762915294163,-4.88436909511543,2.1138608057073e-06
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildBark Forager",-0.0400322522826944,0.0286149384509626,-1.39899837112345,0.163354673178474
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildFlycatcher",0.0095603763322825,0.0292732283415718,0.326591116658819,0.744316981573161
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildFoliage Gleaner",-0.0243612848389325,0.0236117938245802,-1.03174223101898,0.303432726788228
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildGeneralist",0.0363817366251503,0.0378037730636272,0.962383743123113,0.337013215324813
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildGround Forager",0.00852818678377923,0.0232653905612334,0.366561083998717,0.714332011670587
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"guildVertebrate Hunter",-0.0180238340120163,0.0263401085989426,-0.684273337154725,0.494590766524099
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"mean_latitude",0.108906368816025,0.0136591799172355,7.97312645970819,1.14465104268026e-13
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"I(mean_latitude^2)",-0.00155386031798066,0.000189513088212873,-8.19922429967087,2.8233175089123e-14
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"mean_longitude",-0.18807927770025,0.0489387009012682,-3.8431604075411,0.00016287308270821
"LEI","SSP2 2080","guild+lat+long",-489.911405308044,"I(mean_longitude^2)",-0.00109253589923595,0.00029859883750516,-3.65887526007891,0.000323638839406348
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"(Intercept)",-9.85535972089662,1.99387431295801,-4.9428189414185,1.63108567393907e-06
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"orderPasserine",0.00166281745133084,0.0122184341268499,0.136090879900626,0.891887007974648
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatGeneralist",0.0404495844148549,0.0316563321095872,1.27777230396836,0.202818279749372
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatGrasslands",0.039906247457695,0.017599196025195,2.26750400419231,0.0244339419121737
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatMarshes",0.0555360624696171,0.0295022985840018,1.8824317132948,0.0612367567271644
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatOpen Woodlands",0.0305422923999055,0.0147414649787686,2.07186276559989,0.0395675108178889
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatRiparian",0.0490778167479659,0.0297200402134401,1.65133749468386,0.100246833439817
"LEI","SSP2 2080","order+habitat+lat+long",-489.261326014937,"habitatScrub",0.0491951501268638,0.0203451150041571,2.41803254082426,0.0165054920420524
